Date	Flow	Rainfall
30/10/2009 00:00	0.464	0
30/10/2009 00:15	0.464	0
30/10/2009 00:30	0.464	0
30/10/2009 00:45	0.459	0
30/10/2009 01:00	0.459	0
30/10/2009 01:15	0.459	0
30/10/2009 01:30	0.459	0
30/10/2009 01:45	0.459	0
30/10/2009 02:00	0.454	0
30/10/2009 02:15	0.454	0
30/10/2009 02:30	0.454	0
30/10/2009 02:45	0.448	0
30/10/2009 03:00	0.448	0
30/10/2009 03:15	0.448	0
30/10/2009 03:30	0.448	0
30/10/2009 03:45	0.443	0
30/10/2009 04:00	0.443	0
30/10/2009 04:15	0.443	0
30/10/2009 04:30	0.443	0
30/10/2009 04:45	0.443	0
30/10/2009 05:00	0.438	0
30/10/2009 05:15	0.438	0
30/10/2009 05:30	0.438	0
30/10/2009 05:45	0.433	0
30/10/2009 06:00	0.433	0
30/10/2009 06:15	0.433	0
30/10/2009 06:30	0.433	0
30/10/2009 06:45	0.428	0
30/10/2009 07:00	0.428	0
30/10/2009 07:15	0.428	0
30/10/2009 07:30	0.423	0
30/10/2009 07:45	0.423	0
30/10/2009 08:00	0.423	0
30/10/2009 08:15	0.423	0
30/10/2009 08:30	0.418	0
30/10/2009 08:45	0.413	0
30/10/2009 09:00	0.413	0
30/10/2009 09:15	0.413	0
30/10/2009 09:30	0.413	0
30/10/2009 09:45	0.408	0
30/10/2009 10:00	0.408	0
30/10/2009 10:15	0.408	0
30/10/2009 10:30	0.403	0
30/10/2009 10:45	0.403	0
30/10/2009 11:00	0.403	0
30/10/2009 11:15	0.399	0
30/10/2009 11:30	0.399	0
30/10/2009 11:45	0.399	0
30/10/2009 12:00	0.399	0
30/10/2009 12:15	0.399	0
30/10/2009 12:30	0.394	0
30/10/2009 12:45	0.394	0
30/10/2009 13:00	0.394	0
30/10/2009 13:15	0.389	0
30/10/2009 13:30	0.389	0
30/10/2009 13:45	0.384	0
30/10/2009 14:00	0.384	0
30/10/2009 14:15	0.384	0
30/10/2009 14:30	0.38	0
30/10/2009 14:45	0.38	0
30/10/2009 15:00	0.38	0
30/10/2009 15:15	0.375	0
30/10/2009 15:30	0.375	0
30/10/2009 15:45	0.375	0
30/10/2009 16:00	0.375	0
30/10/2009 16:15	0.37	0
30/10/2009 16:30	0.37	0
30/10/2009 16:45	0.37	0
30/10/2009 17:00	0.366	0.2
30/10/2009 17:15	0.37	0
30/10/2009 17:30	0.37	0
30/10/2009 17:45	0.37	0
30/10/2009 18:00	0.37	0
30/10/2009 18:15	0.37	0.8
30/10/2009 18:30	0.366	1.4
30/10/2009 18:45	0.37	0
30/10/2009 19:00	0.37	0
30/10/2009 19:15	0.375	0.2
30/10/2009 19:30	0.384	1
30/10/2009 19:45	0.403	3
30/10/2009 20:00	0.428	2.2
30/10/2009 20:15	0.475	3
30/10/2009 20:30	0.548	2.2
30/10/2009 20:45	0.681	0.8
30/10/2009 21:00	0.988	0.8
30/10/2009 21:15	1.62	1
30/10/2009 21:30	4.14	0.6
30/10/2009 21:45	4.94	0
30/10/2009 22:00	5.18	0
30/10/2009 22:15	5.23	0
30/10/2009 22:30	5.16	0.2
30/10/2009 22:45	4.96	0.2
30/10/2009 23:00	4.68	0
30/10/2009 23:15	4.38	0.4
30/10/2009 23:30	4.18	2
30/10/2009 23:45	4.12	1.2
31/10/2009 00:00	4.23	0.8
31/10/2009 00:15	4.65	0.6
31/10/2009 00:30	5.36	0.6
31/10/2009 00:45	6.3	0.6
31/10/2009 01:00	6.97	0.6
31/10/2009 01:15	7.43	0.4
31/10/2009 01:30	7.78	0.4
31/10/2009 01:45	8.11	0
31/10/2009 02:00	8.34	0
31/10/2009 02:15	8.48	0
31/10/2009 02:30	8.44	0.2
31/10/2009 02:45	8.31	0
31/10/2009 03:00	8.01	0
31/10/2009 03:15	7.68	0
31/10/2009 03:30	7.31	0
31/10/2009 03:45	6.88	0
31/10/2009 04:00	6.41	0
31/10/2009 04:15	5.94	0
31/10/2009 04:30	5.51	0
31/10/2009 04:45	5.11	0
31/10/2009 05:00	4.77	0
31/10/2009 05:15	4.38	0
31/10/2009 05:30	4.1	0
31/10/2009 05:45	3.8	0
31/10/2009 06:00	3.54	0
31/10/2009 06:15	3.33	0
31/10/2009 06:30	3.13	0
31/10/2009 06:45	2.97	0
31/10/2009 07:00	2.8	0
31/10/2009 07:15	2.67	0
31/10/2009 07:30	2.54	0
31/10/2009 07:45	2.43	0.2
31/10/2009 08:00	2.32	0
31/10/2009 08:15	2.24	0.2
31/10/2009 08:30	2.15	0
31/10/2009 08:45	2.08	0
31/10/2009 09:00	2	0
31/10/2009 09:15	1.94	0
31/10/2009 09:30	1.88	0.2
31/10/2009 09:45	1.84	0
31/10/2009 10:00	1.79	0
31/10/2009 10:15	1.74	0.2
31/10/2009 10:30	1.7	0
31/10/2009 10:45	1.67	0.2
31/10/2009 11:00	1.63	0.2
31/10/2009 11:15	1.61	0
31/10/2009 11:30	1.6	0.2
31/10/2009 11:45	1.58	0
31/10/2009 12:00	1.6	0
31/10/2009 12:15	1.64	0
31/10/2009 12:30	1.71	0
31/10/2009 12:45	1.83	0
31/10/2009 13:00	1.9	0
31/10/2009 13:15	1.94	0
31/10/2009 13:30	1.96	0
31/10/2009 13:45	1.94	0
31/10/2009 14:00	1.93	0
31/10/2009 14:15	1.92	0
31/10/2009 14:30	1.93	0
31/10/2009 14:45	1.96	0
31/10/2009 15:00	1.97	0
31/10/2009 15:15	1.96	0.2
31/10/2009 15:30	1.93	0
31/10/2009 15:45	1.9	0
31/10/2009 16:00	1.85	0
31/10/2009 16:15	1.8	0
31/10/2009 16:30	1.76	0
31/10/2009 16:45	1.7	0
31/10/2009 17:00	1.67	0
31/10/2009 17:15	1.62	0
31/10/2009 17:30	1.58	0
31/10/2009 17:45	1.55	0
31/10/2009 18:00	1.51	0
31/10/2009 18:15	1.49	0
31/10/2009 18:30	1.47	0
31/10/2009 18:45	1.44	0
31/10/2009 19:00	1.44	0
31/10/2009 19:15	1.44	0
31/10/2009 19:30	1.46	0
31/10/2009 19:45	1.49	0
31/10/2009 20:00	1.53	0
31/10/2009 20:15	1.57	0
31/10/2009 20:30	1.62	0
31/10/2009 20:45	1.68	0
31/10/2009 21:00	1.73	0
31/10/2009 21:15	1.78	0
31/10/2009 21:30	1.83	0
31/10/2009 21:45	1.87	0
31/10/2009 22:00	1.92	0
31/10/2009 22:15	1.96	0
31/10/2009 22:30	2	0
31/10/2009 22:45	2.01	0
31/10/2009 23:00	2.01	0
31/10/2009 23:15	2	0
31/10/2009 23:30	1.97	0
31/10/2009 23:45	1.93	0
01/11/2009 00:00	1.88	0
01/11/2009 00:15	1.84	0.2
01/11/2009 00:30	1.78	0.2
01/11/2009 00:45	1.73	0
01/11/2009 01:00	1.68	0
01/11/2009 01:15	1.63	0
01/11/2009 01:30	1.6	0
01/11/2009 01:45	1.56	0
01/11/2009 02:00	1.51	0
01/11/2009 02:15	1.49	0
01/11/2009 02:30	1.46	0
01/11/2009 02:45	1.43	0
01/11/2009 03:00	1.39	0
01/11/2009 03:15	1.37	0.2
01/11/2009 03:30	1.35	0
01/11/2009 03:45	1.33	0
01/11/2009 04:00	1.31	0.2
01/11/2009 04:15	1.3	0.6
01/11/2009 04:30	1.3	0.6
01/11/2009 04:45	1.32	0.4
01/11/2009 05:00	1.38	0.6
01/11/2009 05:15	1.48	0.6
01/11/2009 05:30	1.64	0.6
01/11/2009 05:45	1.87	0.6
01/11/2009 06:00	2.16	0.4
01/11/2009 06:15	2.59	0.4
01/11/2009 06:30	2.97	0.6
01/11/2009 06:45	3.31	0.6
01/11/2009 07:00	3.6	0.6
01/11/2009 07:15	3.84	0.4
01/11/2009 07:30	4.1	0.4
01/11/2009 07:45	4.4	0.6
01/11/2009 08:00	4.82	1
01/11/2009 08:15	5.31	1.6
01/11/2009 08:30	5.88	1.4
01/11/2009 08:45	6.44	0.8
01/11/2009 09:00	7.21	0.8
01/11/2009 09:15	8.14	0.8
01/11/2009 09:30	9.11	1.2
01/11/2009 09:45	10.2	1.4
01/11/2009 10:00	11.3	1.6
01/11/2009 10:15	12.3	1.6
01/11/2009 10:30	13.5	1.6
01/11/2009 10:45	15	2.2
01/11/2009 11:00	16.7	1.4
01/11/2009 11:15	18.4	1.4
01/11/2009 11:30	20.3	1.4
01/11/2009 11:45	23.7	1.6
01/11/2009 12:00	27	1.2
01/11/2009 12:15	30.2	0.8
01/11/2009 12:30	32.7	1
01/11/2009 12:45	33.9	1.2
01/11/2009 13:00	33.9	2
01/11/2009 13:15	33	1
01/11/2009 13:30	31.2	0.2
01/11/2009 13:45	29.5	0
01/11/2009 14:00	27.8	0
01/11/2009 14:15	25.5	0
01/11/2009 14:30	23.3	0
01/11/2009 14:45	21.1	0
01/11/2009 15:00	18.2	0
01/11/2009 15:15	15.3	0
01/11/2009 15:30	12.8	0
01/11/2009 15:45	11.1	0
01/11/2009 16:00	9.84	0
01/11/2009 16:15	8.72	0.4
01/11/2009 16:30	7.88	0.2
01/11/2009 16:45	7.21	0
01/11/2009 17:00	6.7	0
01/11/2009 17:15	6.27	0.2
01/11/2009 17:30	5.97	0
01/11/2009 17:45	5.7	0.2
01/11/2009 18:00	5.54	0.2
01/11/2009 18:15	5.33	0.2
01/11/2009 18:30	5.23	0.6
01/11/2009 18:45	5.16	0.4
01/11/2009 19:00	5.16	0
01/11/2009 19:15	5.21	0.2
01/11/2009 19:30	5.33	0
01/11/2009 19:45	5.49	0.2
01/11/2009 20:00	5.62	0.2
01/11/2009 20:15	5.8	0.6
01/11/2009 20:30	5.94	0.6
01/11/2009 20:45	6.07	0
01/11/2009 21:00	6.24	0.4
01/11/2009 21:15	6.44	0
01/11/2009 21:30	6.56	0
01/11/2009 21:45	6.61	0.2
01/11/2009 22:00	6.53	0
01/11/2009 22:15	6.53	0.2
01/11/2009 22:30	6.5	0.4
01/11/2009 22:45	6.56	0.6
01/11/2009 23:00	6.85	0.4
01/11/2009 23:15	7.31	0.6
01/11/2009 23:30	7.88	0.8
01/11/2009 23:45	8.48	0.6
02/11/2009 00:00	8.96	0.4
02/11/2009 00:15	9.4	0.6
02/11/2009 00:30	9.73	1
02/11/2009 00:45	10.1	0.4
02/11/2009 01:00	10.4	0.8
02/11/2009 01:15	10.6	0.6
02/11/2009 01:30	11	0.6
02/11/2009 01:45	11.2	0.2
02/11/2009 02:00	11.3	0.6
02/11/2009 02:15	11.4	0.8
02/11/2009 02:30	11.4	0.6
02/11/2009 02:45	11.3	0.6
02/11/2009 03:00	11.2	0.4
02/11/2009 03:15	10.9	0.6
02/11/2009 03:30	10.7	0
02/11/2009 03:45	10.4	0
02/11/2009 04:00	9.95	0.2
02/11/2009 04:15	9.4	0
02/11/2009 04:30	8.82	0
02/11/2009 04:45	8.24	0.2
02/11/2009 05:00	7.59	0
02/11/2009 05:15	7.09	0
02/11/2009 05:30	6.61	0
02/11/2009 05:45	6.21	0
02/11/2009 06:00	5.88	0
02/11/2009 06:15	5.59	0
02/11/2009 06:30	5.28	0
02/11/2009 06:45	4.96	0
02/11/2009 07:00	4.72	0
02/11/2009 07:15	4.47	0.2
02/11/2009 07:30	4.25	0
02/11/2009 07:45	4.05	0
02/11/2009 08:00	3.88	0.2
02/11/2009 08:15	3.72	0
02/11/2009 08:30	3.58	0
02/11/2009 08:45	3.48	0
02/11/2009 09:00	3.39	0.2
02/11/2009 09:15	3.28	0
02/11/2009 09:30	3.18	0
02/11/2009 09:45	3.11	0
02/11/2009 10:00	3.04	0
02/11/2009 10:15	2.95	0.2
02/11/2009 10:30	2.87	0
02/11/2009 10:45	2.8	0
02/11/2009 11:00	2.75	0
02/11/2009 11:15	2.68	0
02/11/2009 11:30	2.62	0
02/11/2009 11:45	2.56	0
02/11/2009 12:00	2.51	0
02/11/2009 12:15	2.45	0
02/11/2009 12:30	2.4	0
02/11/2009 12:45	2.34	0
02/11/2009 13:00	2.3	0
02/11/2009 13:15	2.25	0
02/11/2009 13:30	2.19	0
02/11/2009 13:45	2.15	0
02/11/2009 14:00	2.11	0
02/11/2009 14:15	2.07	0
02/11/2009 14:30	2.03	0
02/11/2009 14:45	1.98	0
02/11/2009 15:00	1.96	0
02/11/2009 15:15	1.93	0
02/11/2009 15:30	1.89	0
02/11/2009 15:45	1.85	0
02/11/2009 16:00	1.81	0
02/11/2009 16:15	1.79	0.2
02/11/2009 16:30	1.76	0
02/11/2009 16:45	1.75	0.2
02/11/2009 17:00	1.74	0.2
02/11/2009 17:15	1.75	1
02/11/2009 17:30	1.76	1
02/11/2009 17:45	1.8	0
02/11/2009 18:00	1.88	0.2
02/11/2009 18:15	1.98	0.4
02/11/2009 18:30	2.21	0.2
02/11/2009 18:45	2.51	0.2
02/11/2009 19:00	2.75	0
02/11/2009 19:15	2.94	0
02/11/2009 19:30	3.09	0
02/11/2009 19:45	3.24	0
02/11/2009 20:00	3.33	0
02/11/2009 20:15	3.41	0.4
02/11/2009 20:30	3.43	0.4
02/11/2009 20:45	3.39	0.4
02/11/2009 21:00	3.35	0.8
02/11/2009 21:15	3.31	1
02/11/2009 21:30	3.31	0.2
02/11/2009 21:45	3.37	0.4
02/11/2009 22:00	3.48	0
02/11/2009 22:15	3.66	0
02/11/2009 22:30	3.84	0
02/11/2009 22:45	4.14	0
02/11/2009 23:00	4.38	0.2
02/11/2009 23:15	4.54	0.2
02/11/2009 23:30	4.56	0
02/11/2009 23:45	4.45	0
03/11/2009 00:00	4.27	0.2
03/11/2009 00:15	4.14	0
03/11/2009 00:30	3.97	0.2
03/11/2009 00:45	3.78	0
03/11/2009 01:00	3.62	0
03/11/2009 01:15	3.47	0.2
03/11/2009 01:30	3.31	0
03/11/2009 01:45	3.18	0
03/11/2009 02:00	3.08	0.4
03/11/2009 02:15	3.02	0.6
03/11/2009 02:30	3.01	0.6
03/11/2009 02:45	3.01	0.4
03/11/2009 03:00	3.09	0.4
03/11/2009 03:15	3.24	0.2
03/11/2009 03:30	3.45	0.6
03/11/2009 03:45	3.68	1
03/11/2009 04:00	3.88	0.8
03/11/2009 04:15	4.07	0.2
03/11/2009 04:30	4.23	0.2
03/11/2009 04:45	4.42	1
03/11/2009 05:00	4.65	0.8
03/11/2009 05:15	4.87	1.6
03/11/2009 05:30	5.06	1.2
03/11/2009 05:45	5.31	0.8
03/11/2009 06:00	5.67	1
03/11/2009 06:15	6.07	2
03/11/2009 06:30	6.67	1.8
03/11/2009 06:45	7.4	0.8
03/11/2009 07:00	8.14	1.2
03/11/2009 07:15	9.25	0.6
03/11/2009 07:30	10.5	0.4
03/11/2009 07:45	11.3	0.4
03/11/2009 08:00	12.3	0.8
03/11/2009 08:15	13.1	0
03/11/2009 08:30	13.5	0.8
03/11/2009 08:45	13.3	0
03/11/2009 09:00	12.7	0
03/11/2009 09:15	11.5	0
03/11/2009 09:30	10.4	0
03/11/2009 09:45	9.36	0
03/11/2009 10:00	8.41	0
03/11/2009 10:15	7.62	0
03/11/2009 10:30	6.97	0
03/11/2009 10:45	6.41	0
03/11/2009 11:00	5.94	0
03/11/2009 11:15	5.57	0
03/11/2009 11:30	5.18	0
03/11/2009 11:45	4.87	0
03/11/2009 12:00	4.56	0
03/11/2009 12:15	4.29	0
03/11/2009 12:30	4.07	0
03/11/2009 12:45	3.86	0
03/11/2009 13:00	3.68	0
03/11/2009 13:15	3.52	0
03/11/2009 13:30	3.37	0
03/11/2009 13:45	3.24	0.4
03/11/2009 14:00	3.13	0
03/11/2009 14:15	3.02	0
03/11/2009 14:30	2.92	0
03/11/2009 14:45	2.83	0.8
03/11/2009 15:00	2.77	0.4
03/11/2009 15:15	2.72	0.2
03/11/2009 15:30	2.67	0
03/11/2009 15:45	2.62	0.2
03/11/2009 16:00	2.59	0
03/11/2009 16:15	2.54	0
03/11/2009 16:30	2.51	0
03/11/2009 16:45	2.46	0.4
03/11/2009 17:00	2.45	0
03/11/2009 17:15	2.4	0
03/11/2009 17:30	2.37	0
03/11/2009 17:45	2.32	0
03/11/2009 18:00	2.3	0
03/11/2009 18:15	2.28	0
03/11/2009 18:30	2.27	0
03/11/2009 18:45	2.25	0
03/11/2009 19:00	2.24	0
03/11/2009 19:15	2.24	0
03/11/2009 19:30	2.22	0.6
03/11/2009 19:45	2.21	0.2
03/11/2009 20:00	2.21	0
03/11/2009 20:15	2.18	0
03/11/2009 20:30	2.16	0
03/11/2009 20:45	2.14	0
03/11/2009 21:00	2.14	0
03/11/2009 21:15	2.12	0
03/11/2009 21:30	2.11	0.2
03/11/2009 21:45	2.09	0
03/11/2009 22:00	2.09	0.4
03/11/2009 22:15	2.09	0.2
03/11/2009 22:30	2.09	0.6
03/11/2009 22:45	2.11	0.4
03/11/2009 23:00	2.12	0.4
03/11/2009 23:15	2.18	0
03/11/2009 23:30	2.28	0
03/11/2009 23:45	2.46	1
04/11/2009 00:00	2.72	0.2
04/11/2009 00:15	2.92	0
04/11/2009 00:30	3.06	0.2
04/11/2009 00:45	3.17	0.4
04/11/2009 01:00	3.24	0.2
04/11/2009 01:15	3.26	0
04/11/2009 01:30	3.26	0
04/11/2009 01:45	3.22	0.2
04/11/2009 02:00	3.18	0
04/11/2009 02:15	3.13	0
04/11/2009 02:30	3.08	0.2
04/11/2009 02:45	3.02	0.2
04/11/2009 03:00	2.99	0.4
04/11/2009 03:15	2.94	0.2
04/11/2009 03:30	2.88	0
04/11/2009 03:45	2.83	0
04/11/2009 04:00	2.78	0.2
04/11/2009 04:15	2.72	0
04/11/2009 04:30	2.67	0
04/11/2009 04:45	2.6	0.2
04/11/2009 05:00	2.54	0
04/11/2009 05:15	2.46	0
04/11/2009 05:30	2.4	0
04/11/2009 05:45	2.35	0.2
04/11/2009 06:00	2.28	0
04/11/2009 06:15	2.24	0
04/11/2009 06:30	2.19	0.2
04/11/2009 06:45	2.14	0
04/11/2009 07:00	2.11	0
04/11/2009 07:15	2.07	0
04/11/2009 07:30	2.03	0
04/11/2009 07:45	2	0
04/11/2009 08:00	1.96	0
04/11/2009 08:15	1.93	0
04/11/2009 08:30	1.9	0
04/11/2009 08:45	1.87	0
04/11/2009 09:00	1.84	0
04/11/2009 09:15	1.8	0
04/11/2009 09:30	1.76	0
04/11/2009 09:45	1.74	0.2
04/11/2009 10:00	1.71	0.2
04/11/2009 10:15	1.68	0.6
04/11/2009 10:30	1.67	0.8
04/11/2009 10:45	1.65	0.4
04/11/2009 11:00	1.65	0.4
04/11/2009 11:15	1.68	0
04/11/2009 11:30	1.71	0.4
04/11/2009 11:45	1.8	1
04/11/2009 12:00	1.94	0.4
04/11/2009 12:15	2.16	0.8
04/11/2009 12:30	2.49	0.2
04/11/2009 12:45	2.83	0.4
04/11/2009 13:00	3.15	0.2
04/11/2009 13:15	3.37	0
04/11/2009 13:30	3.47	0.2
04/11/2009 13:45	3.45	0
04/11/2009 14:00	3.39	0
04/11/2009 14:15	3.28	0
04/11/2009 14:30	3.15	0
04/11/2009 14:45	3.02	0
04/11/2009 15:00	2.92	0
04/11/2009 15:15	2.83	0
04/11/2009 15:30	2.77	0
04/11/2009 15:45	2.7	0
04/11/2009 16:00	2.65	0.2
04/11/2009 16:15	2.62	0
04/11/2009 16:30	2.59	0
04/11/2009 16:45	2.54	0
04/11/2009 17:00	2.49	2.2
04/11/2009 17:15	2.45	0
04/11/2009 17:30	2.4	0
04/11/2009 17:45	2.34	0
04/11/2009 18:00	2.28	0
04/11/2009 18:15	2.24	0
04/11/2009 18:30	2.18	0
04/11/2009 18:45	2.12	0
04/11/2009 19:00	2.08	0
04/11/2009 19:15	2.03	0
04/11/2009 19:30	1.97	0
04/11/2009 19:45	1.93	0
04/11/2009 20:00	1.89	0
04/11/2009 20:15	1.85	0
04/11/2009 20:30	1.8	0
04/11/2009 20:45	1.76	0
04/11/2009 21:00	1.73	0
04/11/2009 21:15	1.69	0
04/11/2009 21:30	1.65	0
04/11/2009 21:45	1.62	0
04/11/2009 22:00	1.6	0
04/11/2009 22:15	1.56	0.2
04/11/2009 22:30	1.54	0
04/11/2009 22:45	1.51	0
04/11/2009 23:00	1.48	0
04/11/2009 23:15	1.46	0
04/11/2009 23:30	1.44	0
04/11/2009 23:45	1.41	0

